,Airport,ORIGIN
1,Atlanta,ATL
2,Los Angeles International Airport,LAX
3,O'Hare International Airport,ORD
4,Dallas/Fort Worth International Airport,DFW
5,John F. Kennedy International Airport,JFK
6,Denver International Airport,DEN
7,San Francisco International Airport,SFO
8,McCarran International Airport,LAS
9,Charlotte Douglas International Airport,CLT
10,Seattle–Tacoma International Airport,SEA
11,Phoenix Sky Harbor International Airport,PHX
12,Miami International Airport,MIA
13,Orlando International Airport,MCO
14,George Bush Intercontinental Airport,IAH
15,Newark Liberty International Airport,EWR
16,Minneapolis–Saint Paul International Airport,MSP
17,Logan International Airport,BOS
18,Detroit Metropolitan Airport,DTW
19,Philadelphia International Airport,PHL
20,LaGuardia Airport,LGA
21,Fort Lauderdale–Hollywood International Airport,FLL
22,Baltimore–Washington International Airport,BWI
23,Ronald Reagan Washington National Airport,DCA
24,Salt Lake City International Airport,SLC
25,Midway International Airport,MDW
26,Washington Dulles International Airport,IAD
27,San Diego International Airport,SAN
28,Daniel K. Inouye International Airport,HNL
29,Tampa International Airport,TPA
30,Portland International Airport,PDX
